Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,7,7.09,6.942,7.072,7.072,5974000
2013-01-03,7.036,7.09,6.95,6.954,6.954,3710000
2013-01-04,6.96,6.96,6.784,6.88,6.88,3370000
2013-01-07,6.96,6.96,6.78,6.868,6.868,2210000
2013-01-08,6.9,6.9,6.622,6.736,6.736,6420000
2013-01-09,6.802,6.838,6.68,6.728,6.728,3490000
2013-01-10,6.774,6.798,6.676,6.706,6.706,4612500
2013-01-11,6.808,6.808,6.422,6.582,6.582,7816000
2013-01-14,6.616,6.676,6.57,6.652,6.652,4625500
2013-01-15,6.622,6.85,6.616,6.78,6.78,8121000
2013-01-16,6.77,6.846,6.746,6.82,6.82,6891000
2013-01-17,6.832,6.97,6.784,6.876,6.876,7183500
2013-01-18,6.948,6.956,6.764,6.904,6.904,17775500
2013-01-22,6.912,7.11,6.852,7.038,7.038,9601000
2013-01-23,7.004,7.248,6.992,7.2,7.2,7821500
2013-01-24,7.2,7.544,7.168,7.398,7.398,9852000
2013-01-25,7.4,7.508,7.36,7.396,7.396,6439000
2013-01-28,7.372,7.742,7.372,7.606,7.606,9930000
2013-01-29,7.62,7.688,7.426,7.59,7.59,7133000
2013-01-30,7.57,7.6,7.486,7.504,7.504,4840500
2013-01-31,7.574,7.574,7.386,7.502,7.502,4507000
2013-02-01,7.634,7.7,7.524,7.66,7.66,5503000
2013-02-04,7.68,7.684,7.518,7.548,7.548,5640000
2013-02-05,7.6,7.73,7.536,7.626,7.626,6551000
2013-02-06,7.636,7.878,7.58,7.834,7.834,9466000
2013-02-07,7.838,7.936,7.79,7.896,7.896,5983000
2013-02-08,7.89,8,7.828,7.848,7.848,5699000
2013-02-11,7.596,7.83,7.5,7.684,7.684,16331500
2013-02-12,7.69,7.774,7.458,7.578,7.578,11306500
2013-02-13,7.66,7.8,7.61,7.69,7.69,4834000
2013-02-14,7.728,7.75,7.642,7.654,7.654,4953500
2013-02-15,7.7,7.702,7.39,7.408,7.408,10088000
2013-02-19,7.472,7.858,7.462,7.856,7.856,13507000
2013-02-20,7.86,7.93,7.692,7.708,7.708,15610000
2013-02-21,7.298,7.478,6.908,7.032,7.032,45189000
2013-02-22,7.144,7.278,7.12,7.222,7.222,12736500
2013-02-25,7.23,7.35,6.868,6.876,6.876,14447000
2013-02-26,6.892,6.992,6.76,6.886,6.886,13814500
2013-02-27,6.882,7.082,6.88,7.02,7.02,9796000
2013-02-28,7.178,7.22,6.874,6.966,6.966,9824500
2013-03-01,7,7.016,6.85,6.93,6.93,7733000
2013-03-04,6.954,7.166,6.94,7.116,7.116,8788500
2013-03-05,7.2,7.384,7.158,7.33,7.33,10435000
2013-03-06,7.402,7.576,7.394,7.538,7.538,5750000
2013-03-07,7.546,7.73,7.376,7.646,7.646,5791500
2013-03-08,7.612,7.888,7.472,7.694,7.694,4560500
2013-03-11,7.774,7.888,7.73,7.82,7.82,7897500
2013-03-12,7.78,7.876,7.77,7.824,7.824,6375500
2013-03-13,7.8,7.898,7.762,7.796,7.796,4110000
2013-03-14,7.78,7.782,7.354,7.37,7.37,10105000
2013-03-15,7.328,7.33,7.042,7.058,7.058,16398000
2013-03-18,7.06,7.212,6.984,7.03,7.03,6580500
2013-03-19,7.05,7.12,6.988,7.016,7.016,5492500
2013-03-20,7.052,7.214,7.032,7.19,7.19,7115000
2013-03-21,7.19,7.412,7.148,7.202,7.202,5731500
2013-03-22,7.24,7.36,7.24,7.324,7.324,2201000
2013-03-25,7.42,7.704,7.354,7.506,7.506,11894000
2013-03-26,7.596,7.644,7.532,7.572,7.572,9041000
2013-03-27,7.588,7.676,7.462,7.632,7.632,6481500
2013-03-28,7.646,7.648,7.55,7.578,7.578,5793500
2013-04-01,8.472,9.336,8.34,8.786,8.786,70492500
2013-04-02,8.72,9.1,8.702,8.868,8.868,33262000
2013-04-03,8.62,8.694,8.042,8.22,8.22,28218000
2013-04-04,8.222,8.45,8.162,8.402,8.402,11324000
2013-04-05,8.4,8.4,8.1,8.274,8.274,7762000
2013-04-08,8.394,8.51,8.302,8.366,8.366,8395000
2013-04-09,8.36,8.366,8.066,8.1,8.1,8480500
2013-04-10,8.14,8.402,8.122,8.372,8.372,10605500
2013-04-11,8.412,8.91,8.35,8.718,8.718,17237000
2013-04-12,8.65,9.028,8.61,8.75,8.75,15747000
2013-04-15,8.7,8.76,8.502,8.66,8.66,8407000
2013-04-16,8.838,9.228,8.782,9.118,9.118,15902000
2013-04-17,9.1,9.19,8.908,9.09,9.09,10592500
2013-04-18,9.196,9.52,9.078,9.394,9.394,16839500
2013-04-19,9.492,9.976,9.414,9.566,9.566,15058500
2013-04-22,9.72,10.04,9.55,10.038,10.038,19697000
2013-04-23,10.2,10.584,10.132,10.202,10.202,18669000
2013-04-24,10.18,10.21,9.796,10.086,10.086,13150000
2013-04-25,10.1,10.48,10.1,10.4,10.4,13979500
2013-04-26,10.626,10.748,10.124,10.24,10.24,18110500
2013-04-29,10.352,10.998,10.24,10.988,10.988,18198500
2013-04-30,11.2,11.636,10.752,10.798,10.798,27613000
2013-05-01,11.198,11.198,10.6,10.656,10.656,13714000
2013-05-02,10.77,11.054,10.74,10.822,10.822,15252000
2013-05-03,11.294,11.294,10.9,10.91,10.91,16893500
2013-05-06,11.278,11.932,11.1,11.9,11.9,21833500
2013-05-07,12.4,12.474,11.024,11.102,11.102,49955000
2013-05-08,11.5,11.64,11.142,11.158,11.158,33849500
2013-05-09,14.024,15.154,12.738,13.88,13.88,143025000
2013-05-10,13.93,16.200001,13.85,15.352,15.352,125413000
2013-05-13,16.198,17.6,15.83,17.559999,17.559999,112084500
2013-05-14,18.844,19.424,16.23,16.648001,16.648001,185819500
2013-05-15,16.360001,17.375999,15.622,16.968,16.968,84393500
2013-05-16,18.940001,19,17.732,18.450001,18.450001,108070000
2013-05-17,18.5,18.888,17.5,18.299999,18.299999,95011000
2013-05-20,18.224001,18.5,17.726,17.988001,17.988001,41742000
2013-05-21,17.700001,17.997999,17.056,17.518,17.518,44991000
2013-05-22,17.274,18.191999,17.1,17.448,17.448,42840000
2013-05-23,16.962,18.601999,16.610001,18.546,18.546,60111000
2013-05-24,18.52,19.59,18.4,19.416,19.416,80621000
2013-05-28,20.309999,22.15,20.059999,22.066,22.066,98459500
2013-05-29,22.709999,22.98,19.799999,20.926001,20.926001,125497500
2013-05-30,20.492001,21.908001,20.24,20.99,20.99,80668500
2013-05-31,21.252001,21.288,19.546,19.552,19.552,75860000
2013-06-03,19.524,19.524,17.65,18.518,18.518,95698000
2013-06-04,18.549999,19.284,18.48,18.968,18.968,44280500
2013-06-05,18.732,19.594,17.822001,19.073999,19.073999,61124000
2013-06-06,19.049999,19.854,19.021999,19.469999,19.469999,47554500
2013-06-07,19.6,20.58,19.34,20.408001,20.408001,53558000
2013-06-10,19.785999,20.504,19.714001,20.01,20.01,46143000
2013-06-11,19.636,19.736,18.809999,18.893999,18.893999,36970000
2013-06-12,19.360001,20.096001,19.15,19.546,19.546,45963500
2013-06-13,19.799999,19.856001,19.024,19.636,19.636,29808000
2013-06-14,20,20.504,19.865999,20.059999,20.059999,32823500
2013-06-17,20.719999,20.950001,20.24,20.440001,20.440001,35331000
2013-06-18,20.35,20.796,19.84,20.677999,20.677999,43976500
2013-06-19,20.412001,21.334,20.402,20.936001,20.936001,42894500
2013-06-20,20.93,21.426001,19.889999,20.129999,20.129999,50532500
2013-06-21,20.74,20.74,19.5,19.91,19.91,58593000
2013-06-24,19.299999,20.573999,19.059999,20.298,20.298,35599000
2013-06-25,20.620001,20.84,20.110001,20.48,20.48,29243500
2013-06-26,20.76,21.174,20.532,21.143999,21.143999,33013000
2013-06-27,21.35,22.049999,21.226,21.85,21.85,43724500
2013-06-28,21.714001,21.888,21.341999,21.472,21.472,28743000
2013-07-01,21.872,23.554001,21.83,23.436001,23.436001,54518000
2013-07-02,23.65,24.378,23.1,23.563999,23.563999,60320500
2013-07-03,23.6,23.85,22.854,23.048,23.048,24033500
2013-07-05,23.664,24.056,23.139999,24.018,24.018,34093500
2013-07-08,24.274,24.436001,23.764,24.322001,24.322001,39071000
2013-07-09,24.927999,25.063999,24.382,24.690001,24.690001,43016500
2013-07-10,24.638,24.65,24.158001,24.454,24.454,28000500
2013-07-11,24.976,25.218,24.469999,25.122,25.122,37418000
2013-07-12,25.1,25.988001,24.902,25.98,25.98,56720000
2013-07-15,26.606001,26.652,25.364,25.452,25.452,49612000
2013-07-16,25.256001,25.264,21.459999,21.809999,21.809999,161859500
2013-07-17,21.304001,24.323999,20.9,24.049999,24.049999,130145000
2013-07-18,24.194,24.546,23.236,23.806,23.806,56990500
2013-07-19,23.700001,24.110001,23.302,23.936001,23.936001,29451500
2013-07-22,23.978001,25.336,23.976,24.486,24.486,48989000
2013-07-23,24.799999,25.112,24.364,24.548,24.548,38682000
2013-07-24,24.893999,24.9,23.912001,24.34,24.34,34345000
2013-07-25,24.08,24.950001,24.038,24.813999,24.813999,26421500
2013-07-26,25.628,26.136,25.322001,25.878,25.878,48165500
2013-07-29,25.864,27.073999,25.65,26.924,26.924,48394500
2013-07-30,26.959999,27.497999,25.636,26.348,26.348,65635000
2013-07-31,26.514,26.993999,26.290001,26.856001,26.856001,31758500
2013-08-01,27,27.304001,26.525999,27.110001,27.110001,26618000
2013-08-02,26.917999,27.65,26.722,27.6,27.6,31349500
2013-08-05,28.002001,28.978001,27.93,28.936001,28.936001,51003500
2013-08-06,28.950001,29.146,28.219999,28.43,28.43,46272500
2013-08-07,28.378,28.389999,26.472,26.846001,26.846001,91061000
2013-08-08,30.870001,31.775999,30.091999,30.695999,30.695999,136234000
2013-08-09,30.48,31.190001,30.25,30.6,30.6,44638500
2013-08-12,29.886,30.1,28.41,29.476,29.476,74561000
2013-08-13,29.9,29.968,28.889999,29.086,29.086,43744500
2013-08-14,28.544001,28.968,27.610001,27.872,27.872,58469000
2013-08-15,27.285999,28.719999,27,27.934,27.934,50896000
2013-08-16,28.326,28.782,28.194,28.4,28.4,35540500
2013-08-19,28.686001,29.476,28.566,28.98,28.98,40188500
2013-08-20,29.73,29.955999,29.4,29.916,29.916,32091000
2013-08-21,30,30.062,29.25,29.572001,29.572001,31331500
2013-08-22,29.844,31.496,29.628,31.42,31.42,52962000
2013-08-23,31.4,32.459999,31,32.368,32.368,64659500
2013-08-26,33.029999,34.599998,32.049999,32.844002,32.844002,120855500
2013-08-27,32.459999,33.759998,32.189999,33.402,33.402,87834500
2013-08-28,33.812,34.299999,32.650002,33.290001,33.290001,73700500
2013-08-29,32.844002,33.549999,32.501999,33.212002,33.212002,47180000
2013-08-30,33.273998,33.841999,32.792,33.799999,33.799999,55142000
2013-09-03,34.68,34.740002,33.279999,33.787998,33.787998,60305500
2013-09-04,33.953999,34.324001,33.112,34.124001,34.124001,57378500
2013-09-05,34.02,34.299999,33.650002,33.986,33.986,33426500
2013-09-06,33.714001,33.939999,33.029999,33.394001,33.394001,43098500
2013-09-09,32.624001,32.900002,31.702,32.139999,32.139999,71722500
2013-09-10,32.290001,33.5,32.125999,33.273998,33.273998,44839000
2013-09-11,33.282001,33.580002,32.425999,32.703999,32.703999,29162500
2013-09-12,32.799999,33.352001,32.102001,32.986,32.986,30800000
2013-09-13,32.554001,33.273998,32.431999,33.108002,33.108002,27006000
2013-09-16,33.599998,34.169998,33.169998,33.316002,33.316002,37874500
2013-09-17,33.015999,33.683998,32.672001,33.245998,33.245998,27484500
2013-09-18,33.414001,33.490002,32.84,33.243999,33.243999,27198500
2013-09-19,34.16,36.094002,33.816002,35.584,35.584,77973000
2013-09-20,35.779999,37.166,35.712002,36.678001,36.678001,67008500
2013-09-23,36.896,37.096001,35.422001,36.222,36.222,40867000
2013-09-24,35.827999,36.992001,35.529999,36.466,36.466,31367000
2013-09-25,36.712002,37.259998,36.099998,37.048,37.048,41263500
2013-09-26,37.34,37.936001,37.122002,37.728001,37.728001,33072000
2013-09-27,37.504002,38.256001,37.285999,38.18,38.18,29582000
2013-09-30,37.799999,38.900002,37.599998,38.674,38.674,44623500
2013-10-01,38.792,38.846001,37.674,38.599998,38.599998,38779500
2013-10-02,37.717999,38.366001,35.080002,36.189999,36.189999,103877000
2013-10-03,35.009998,35.938,33.599998,34.661999,34.661999,119082500
2013-10-04,35.279999,36.236,34.529999,36.195999,36.195999,72070000
2013-10-07,36.492001,37.346001,36.051998,36.613998,36.613998,57428000
2013-10-08,36.880001,37.186001,34.641998,34.945999,34.945999,68786000
2013-10-09,34.945999,34.998001,32.299999,33.756001,33.756001,76582500
2013-10-10,34.618,35.150002,33.938,34.585999,34.585999,44419500
2013-10-11,34.549999,35.858002,34.240002,35.740002,35.740002,41555500
2013-10-14,35,36.5,34.830002,35.944,35.944,38848000
2013-10-15,37.056,37.757999,36.636002,36.787998,36.787998,54892500
2013-10-16,36.98,37.459999,36.417999,36.712002,36.712002,41027000
2013-10-17,36.708,36.959999,36.198002,36.560001,36.560001,33525000
2013-10-18,36.830002,37.192001,36.504002,36.68,36.68,29654000
2013-10-21,36.655998,36.678001,34.200001,34.52,34.52,57660500
2013-10-22,34.099998,35.556,33.222,34.307999,34.307999,56933500
